"id";"address";"exchanged"
52;"128.3.4.67";"{""Volume"": 64, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 64, ""Nombreout"": 1, ""Volumein"": 0}}, ""id"": 339}"
53;"131.243.155.227";"{""Volume"": 39552, ""Protocole"": {""Autre"": {""Nombrein"": 291, ""Volumeout"": 18176, ""Nombreout"": 284, ""Volumein"": 18624}, ""POP3S"": {""Nombrein"": 9, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 576}, ""ICMP"": {""Nombrein"": 14, ""Volumeout"": 832, ""Nombreout"": 13, ""Volumein"": 896}}, ""id"": 23}"
54;"131.243.93.124";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 188}"
55;"59.223.13.123";"{""Volume"": 1216, ""Protocole"": {""HTTP"": {""Nombrein"": 9, ""Volumeout"": 640, ""Nombreout"": 10, ""Volumein"": 576}}, ""id"": 307}"
56;"207.235.214.252";"{""Volume"": 8128, ""Protocole"": {""HTTP"": {""Nombrein"": 54, ""Volumeout"": 4672, ""Nombreout"": 73, ""Volumein"": 3456}}, ""id"": 304}"
57;"131.243.143.70";"{""Volume"": 1024, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 1024, ""Nombreout"": 16, ""Volumein"": 0}}, ""id"": 136}"
58;"131.243.141.187";"{""Volume"": 6016, ""Protocole"": {""Autre"": {""Nombrein"": 31, ""Volumeout"": 3392, ""Nombreout"": 53, ""Volumein"": 1984}, ""ICMP"": {""Nombrein"": 5, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 320}}, ""id"": 27}"
59;"128.3.161.252";"{""Volume"": 14144, ""Protocole"": {""Autre"": {""Nombrein"": 98, ""Volumeout"": 6656, ""Nombreout"": 104, ""Volumein"": 6272}, ""POP3S"": {""Nombrein"": 3, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 192}, ""ICMP"": {""Nombrein"": 6, ""Volumeout"": 384, ""Nombreout"": 6, ""Volumein"": 384}}, ""id"": 55}"
60;"131.243.91.14";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 140}"
61;"128.3.194.200";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 301}"
