"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1263;"131.243.160.251";"128.3.255.24";443;1247;"TCP"
1264;"131.243.140.105";"128.3.255.172";524;1041;"TCP"
1265;"131.243.160.251";"128.3.255.24";443;1249;"TCP"
1266;"208.166.54.108";"128.3.255.49";80;3811;"TCP"
1267;"128.3.255.202";"128.3.164.191";1066;5730;"TCP"
1268;"58.247.192.137";"128.3.255.49";80;3565;"TCP"
1269;"128.3.255.47";"131.243.160.98";3714;7777;"TCP"
1270;"128.3.255.49";"58.247.202.172";3842;80;"TCP"
1271;"131.243.88.159";"239.255.255.253";61809;427;"UDP"
1272;"128.3.255.49";"59.69.237.47";3491;80;"TCP"
1273;"128.3.161.46";"128.3.255.153";4849;161;"UDP"
1274;"131.243.91.15";"239.255.255.253";50206;427;"UDP"
1275;"128.3.255.189";"128.3.161.177";3979;3396;"TCP"
1276;"128.3.255.224";"131.243.160.98";4161;7777;"TCP"
1277;"128.3.161.177";"128.3.255.90";1565;161;"UDP"
1278;"131.243.140.105";"128.3.255.67";524;1032;"TCP"
1279;"128.3.194.144";"239.255.255.253";49185;427;"UDP"
1280;"128.3.161.177";"128.3.255.229";4882;161;"UDP"
1281;"131.243.141.187";"128.3.255.84";524;3018;"TCP"
1282;"128.3.161.22";"128.3.255.241";1032;161;"UDP"
1283;"131.243.141.124";"128.3.255.229";2690;161;"UDP"
1284;"131.243.141.187";"128.3.255.35";524;3011;"TCP"
1285;"128.3.255.189";"128.3.161.177";3854;3396;"TCP"
1286;"131.243.141.37";"224.0.1.22";1039;427;"UDP"
1287;"131.243.160.173";"128.3.255.21";1521;3025;"TCP"
1288;"128.3.255.24";"128.3.161.223";138;138;"UDP"
1289;"128.3.255.90";"128.3.161.22";515;943;"TCP"
1290;"128.3.205.231";"239.255.255.253";50057;427;"UDP"
1291;"128.3.255.49";"59.69.237.47";3695;80;"TCP"
1292;"128.3.255.189";"128.3.161.5";3883;3396;"TCP"
1293;"128.3.23.58";"239.255.255.253";51103;427;"UDP"
1294;"128.3.255.10";"131.243.140.105";1034;524;"TCP"
1295;"128.3.255.172";"56.81.14.17";2083;80;"TCP"
1296;"131.243.103.13";"239.255.255.253";54304;427;"UDP"
1297;"128.3.161.252";"128.3.255.66";772;515;"TCP"
1298;"128.3.255.66";"128.3.161.252";515;842;"TCP"
1299;"128.3.255.66";"128.3.161.252";515;848;"TCP"
1300;"131.243.143.142";"239.255.255.253";427;427;"UDP"
1301;"128.3.255.24";"128.3.164.194";1191;993;"TCP"
1302;"131.243.142.214";"128.3.255.42";524;1035;"TCP"
1303;"58.247.202.26";"128.3.255.49";80;3798;"TCP"
1304;"128.3.164.15";"128.3.255.172";143;1060;"TCP"
1305;"128.3.209.152";"128.3.255.186";1035;38293;"UDP"
